,time,output,current
10017,31660.07150377263,3.6179533,-0.67958167
10018,31661.07150382013,3.6179926,-0.67958167
10019,31662.07150386763,3.6180716,-0.67970001
10020,31663.07150391513,3.617835,-0.6795028099999999
10021,31664.07150396262,3.617835,-0.67952252
10022,31665.07150401012,3.617835,-0.6795620099999999
10023,31666.07150405762,3.6177564,-0.67966058
10024,31667.07150410512,3.6177168,-0.6795620099999999
10025,31668.07150415261,3.6175199,-0.67946344
10026,31669.07150420011,3.6177168,-0.67958167
10027,31670.07150424761,3.6175988,-0.6796013799999999
10028,31671.07150429511,3.6176381,-0.67968024
10029,31672.0715043426,3.6174412,-0.67966058
10030,31673.0715043901,3.6174805,-0.67946344
10031,31674.0715044376,3.6175592,-0.67952252
10032,31675.07150448509,3.6174805,-0.67964087
10033,31676.07150453259,3.6174805,-0.67970001
10034,31677.07150458009,3.6174412,-0.67952252
10035,31678.07150462759,3.6174805,-0.67968024
10036,31679.07150467508,3.6173229,-0.6797197300000001
10037,31680.07150472258,3.6174016,-0.6796211499999999
10038,31681.07150477008,3.6171653,-0.6796013799999999
10039,31682.07150481758,3.6170471,-0.6796211499999999
10040,31683.07150486507,3.6171653,-0.6797197300000001
10041,31684.07150491257,3.6170077,-0.6795028099999999
10042,31685.07150496007,3.6172047,-0.67968024
10043,31686.07150500757,3.6170077,-0.67958167
10044,31687.07150505506,3.6169684,-0.67958167
10045,31688.07150510256,3.6169291,-0.6796211499999999
10046,31689.07150515006,3.6169291,-0.67942395
10047,31690.07150519756,3.6169684,-0.6796013799999999
10048,31691.07150524505,3.6169291,-0.67964087
10049,31692.07150529255,3.6170471,-0.67975909
10050,31693.07150534005,3.6166925,-0.67964087
10051,31694.07150538755,3.6166532,-0.67964087
10052,31695.07150543504,3.6166532,-0.6795422999999999
10053,31696.07150548254,3.6167319,-0.67964087
10054,31697.07150553004,3.6166139,-0.6795620099999999
10055,31698.07150557754,3.6166925,-0.67970001
10056,31699.07150562503,3.6164563,-0.6795028099999999
10057,31700.07150567253,3.6165743,-0.6797197300000001
10058,31701.07150572003,3.6164956,-0.6796211499999999
10059,31702.07150576753,3.6164167,-0.67966058
10060,31703.07150581502,3.6164167,-0.6795422999999999
10061,31704.07150586252,3.6164167,-0.6796013799999999
10062,31705.07150591002,3.6164167,-0.6796211499999999
10063,31706.07150595752,3.6161411,-0.67946344
10064,31707.07150600501,3.616338,-0.6796013799999999
10065,31708.07150605251,3.6162198,-0.67966058
10066,31709.07150610001,3.6162591,-0.6795422999999999
10067,31710.07150614751,3.6161804,-0.6796211499999999
10068,31711.071506195,3.6161015,-0.67966058
10069,31712.0715062425,3.6162591,-0.6797197300000001
10070,31713.07150629,3.6159046,-0.6795028099999999
10071,31714.0715063375,3.6159835,-0.67946344
10072,31715.07150638499,3.6159835,-0.67966058
10073,31716.07150643249,3.6159835,-0.6796013799999999
10074,31717.07150647999,3.6160228,-0.6795620099999999
10075,31718.07150652749,3.6157863,-0.6795620099999999
10076,31719.07150657498,3.6157863,-0.6796013799999999
10077,31720.07150662248,3.6157863,-0.67958167
10078,31721.07150666998,3.615747,-0.67964087
10079,31722.07150671748,3.6158652,-0.67966058
10080,31723.07150676497,3.6156683,-0.67964087
10081,31724.07150681247,3.6157076,-0.67964087
10082,31725.07150685997,3.6156683,-0.67966058
10083,31726.07150690746,3.6156287,-0.67958167
10084,31727.07150695496,3.6154711,-0.6795620099999999
10085,31728.07150700246,3.61555,-0.67964087
10086,31729.07150704996,3.6156683,-0.67989716
10087,31730.07150709745,3.6154318,-0.67948315
10088,31731.07150714495,3.6153924,-0.6795620099999999
10089,31732.07150719245,3.6153924,-0.67977887
10090,31733.07150723995,3.6153135,-0.6795422999999999
10091,31734.07150728744,3.6152349,-0.67958167
10092,31735.07150733494,3.6153135,-0.6797197300000001
10093,31736.07150738244,3.6153135,-0.67977887
10094,31737.07150742994,3.6151166,-0.6795422999999999
10095,31738.07150747743,3.6151955,-0.67964087
10096,31739.07150752493,3.6152349,-0.67964087
10097,31740.07150757243,3.6149197,-0.67946344
10098,31741.07150761993,3.6150773,-0.67966058
10099,31742.07150766742,3.6149983,-0.6796211499999999
10100,31743.07150771492,3.6149983,-0.67966058
10101,31744.07150776242,3.6149197,-0.6795620099999999
10102,31745.07150780992,3.6149197,-0.67968024
10103,31746.07150785741,3.6149197,-0.67964087
10104,31747.07150790491,3.6148407,-0.67970001
10105,31748.07150795241,3.6148407,-0.6795422999999999
10106,31749.07150799991,3.6148803,-0.6796013799999999
10107,31750.0715080474,3.6146834,-0.6794043000000001
10108,31751.0715080949,3.6146438,-0.6795028099999999
10109,31752.0715081424,3.6148014,-0.67973944
10110,31753.0715081899,3.6145651,-0.67958167
10111,31754.07150823739,3.6144075,-0.67948315
10112,31755.07150828489,3.6146438,-0.6796013799999999
10113,31756.07150833239,3.6145651,-0.67958167
10114,31757.07150837989,3.6146438,-0.67975909
10115,31758.07150842738,3.6144469,-0.6796211499999999
10116,31759.07150847488,3.6144075,-0.67952252
10117,31760.07150852238,3.6142499,-0.67946344
10118,31761.07150856988,3.6143682,-0.67964087
10119,31762.07150861737,3.6143682,-0.67970001
10120,31763.07150866487,3.6143682,-0.6796013799999999
10121,31764.07150871237,3.614053,-0.67952252
10122,31765.07150875987,3.6141317,-0.67966058
10123,31766.07150880736,3.614171,-0.6795620099999999
10124,31767.07150885486,3.6141317,-0.67952252
10125,31768.07150890236,3.614053,-0.6795028099999999
10126,31769.07150894986,3.6141317,-0.67964087
10127,31770.07150899735,3.614053,-0.67964087
10128,31771.07150904485,3.6139741,-0.67948315
10129,31772.07150909235,3.6140924,-0.67973944
10130,31773.07150913985,3.614053,-0.67958167
10131,31774.07150918734,3.6137378,-0.6795422999999999
10132,31775.07150923484,3.6138558,-0.67958167
10133,31776.07150928234,3.6139348,-0.67970001
10134,31777.07150932984,3.6138954,-0.67966058
10135,31778.07150937733,3.6138954,-0.67970001
10136,31779.07150942483,3.6136589,-0.67942395
10137,31780.07150947233,3.6136196,-0.6795620099999999
10138,31781.07150951982,3.6136196,-0.6795422999999999
10139,31782.07150956732,3.6136589,-0.6797197300000001
10140,31783.07150961482,3.6138165,-0.67970001
10141,31784.07150966232,3.6136982,-0.67973944
10142,31785.07150970981,3.6133437,-0.6796211499999999
10143,31786.07150975731,3.6135406,-0.67966058
10144,31787.07150980481,3.6135013,-0.6796013799999999
10145,31788.07150985231,3.6134226,-0.6797197300000001
10146,31789.0715098998,3.6133044,-0.6795620099999999
10147,31790.0715099473,3.6131861,-0.67958167
10148,31791.0715099948,3.6133044,-0.67964087
10149,31792.0715100423,3.6133437,-0.67968024
